Hole      Core-Sec.-Int.     Depth      Bio.sil.     Age
BDP-96-2      5   1  51       9.72       28.8      217.6
BDP-96-2      5   1  53       9.74       25.5      218.0
BDP-96-2      5   1  55       9.76       25.8      218.3
BDP-96-2      5   1  57       9.78       25.5      218.7
BDP-96-2      5   1  59        9.8       22.9      219.0
BDP-96-2      5   1  61       9.82        6.5      219.4
BDP-96-2      5   1  65       9.86        5.4      220.1
BDP-96-2      5   1  67       9.88        4.9      220.4
BDP-96-2      5   1  69        9.9        4.8      220.8
BDP-96-2      5   1  71       9.92        4.1      221.2
BDP-96-2      5   1  73       9.94        4.2      221.5
BDP-96-2      5   1  75       9.96        4.4      221.9
BDP-96-2      5   1  77       9.98        4.3      222.2
BDP-96-2      5   1  79         10        4.4      222.6
BDP-96-2      5   1  81      10.02        3.6      222.9
BDP-96-2      5   1  83      10.04        3.0      223.3
BDP-96-2      5   1  85      10.06        2.9      223.7
BDP-96-2      5   1  87      10.08        3.1      224.0
BDP-96-2      5   1  89       10.1        3.0      224.4
BDP-96-2      5   1  91      10.12        2.9      224.7
BDP-96-2      5   1  93      10.14        3.0      225.1
BDP-96-2      5   1  95      10.16        3.0      225.4
BDP-96-2      5   1  97      10.18        2.7      225.8
BDP-96-2      5   1  99       10.2        2.8      226.2
BDP-96-2      5   1 101      10.22        2.8      226.5
BDP-96-2      5   1 103      10.24        2.6      226.9
BDP-96-2      5   1 105      10.26        2.7      227.2
BDP-96-2      5   1 109       10.3        2.6      227.9
BDP-96-2      5   1 111      10.32        2.7      228.3
BDP-96-2      5   1 113      10.34        2.6      228.6
BDP-96-2      5   1 115      10.36        2.9      229.0
BDP-96-2      5   1 117      10.38        2.9      229.4
BDP-96-2      5   1 119       10.4        2.8      229.7
BDP-96-2      5   1 121      10.42        2.8      230.1
BDP-96-2      5   1 123      10.44        3.6      230.4
BDP-96-2      5   1 125      10.46        3.9      230.8
BDP-96-2      5   1 127      10.48        2.5      231.1
BDP-96-2      5   1 129       10.5        2.1      231.5
BDP-96-2      5   1 131      10.52        5.0      231.9
BDP-96-2      5   1 133      10.54        5.5      232.2
BDP-96-2      5   1 135      10.56        8.6      232.6
BDP-96-2      5   1 137      10.58       14.4      232.9
BDP-96-2      5   1 141      10.62       20.8      233.6
BDP-96-2      5   1 143      10.64       19.6      234.0
BDP-96-2      5   1 145      10.66       25.5      234.4
BDP-96-2      5   1 147      10.68       23.2      234.7
BDP-96-2      5   1 149       10.7       22.4      235.1
BDP-96-2      5   1 151      10.72       19.7      235.4
BDP-96-2      5   1 153      10.74       22.4      235.8
BDP-96-2      5   1 155      10.76       27.5      236.1
BDP-96-2      5   1 157      10.78       31.6      236.5
BDP-96-2      5   1 159       10.8       28.7      236.9
BDP-96-2      5   1 161      10.82       23.3      237.3
BDP-96-2      5   1 163      10.84       26.2      237.7
BDP-96-2      5   1 165      10.86       32.3      238.1
BDP-96-2      5   1 167      10.88       30.2      238.5
BDP-96-2      5   1 169       10.9       28.8      239.0
BDP-96-2      5   1 173      10.94       20.6      239.8
BDP-96-2      5   1 175      10.96       19.8      240.2
BDP-96-2      5   1 177      10.98       18.9      240.6
BDP-96-2      5   1 179         11       25.0      241.0
